year,all_trips,female_trip_count,female_trip_percentage,male_trip_count,male_trip_percentage
2010,731286,193100,26.40553764,538186,73.59446236
2011,777585,209430,26.93338992,568155,73.06661008
2012,864883,236067,27.29467454,628816,72.70532546
2013,882198,238052,26.98396505,644146,73.01603495
2014,904463,251790,27.83861805,652673,72.16138195
2015,885188,253497,28.63764534,631691,71.36235466
2016,863979,248639,28.77836151,615340,71.22163849
2017,836569,232992,27.85090052,603577,72.14909948
2018,821201,233562,28.44151432,587639,71.55848568
2019,805722,236717,29.37948821,569005,70.62051179
