row,column,value_female,value_male
A,1,0,0
A,2,5,10
A,3,10,15
A,4,5,10
A,5,5,10
A,6,10,15
A,7,5,10
A,8,0,0
B,1,5,10
B,2,15,20
B,3,25,30
B,4,15,20
B,5,15,20
B,6,25,30
B,7,15,20
B,8,5,10
C,1,5,15
C,2,15,25
C,3,30,40
C,4,15,25
C,5,15,20
C,6,30,40
C,7,15,25
C,8,5,10
D,1,2,7
D,2,10,15
D,3,25,30
D,4,10,15
D,5,10,15
D,6,25,30
D,7,10,15
D,8,2,7
E,1,0,0
E,2,10,15
E,3,20,25
E,4,8,15
E,5,8,15
E,6,20,25
E,7,10,15
E,8,0,0
F,1,0,0
F,2,8,15
F,3,15,20
F,4,6,11
F,5,6,11
F,6,15,20
F,7,8,15
F,8,0,0
G,1,0,0
G,2,0,0
G,3,8,15
G,4,4,10
G,5,4,10
G,6,8,15
G,7,0,0
G,8,0,0
H,1,0,0
H,2,0,0
H,3,5,10
H,4,2,5
H,5,2,5
H,6,5,10
H,7,0,0
H,8,0,0
I,1,0,0
I,2,0,0
I,3,0,0
I,4,2,5
I,5,2,5
I,6,0,0
I,7,0,0
I,8,0,0
J,1,0,0
J,2,0,0
J,3,0,0
J,4,2,5
J,5,2,5
J,6,0,0
J,7,0,0
J,8,0,0
K,1,0,0
K,2,0,0
K,3,0,0
K,4,2,5
K,5,2,5
K,6,0,0
K,7,0,0
K,8,0,0
L,1,0,0
L,2,0,0
L,3,0,0
L,4,2,5
L,5,2,5
L,6,0,0
L,7,0,0
L,8,0,0
